exercise_id,canonical_name,aliases,status,confidence,category,movement_pattern,primary_joints,equipment,safety_tags_set
EX-0001,Ankle Dorsiflexion Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,ankle,,No
EX-0002,Ankle Plantarflexion Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,ankle,,No
EX-0003,Ankle Inversion Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,ankle,,No
EX-0004,Ankle Eversion Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,ankle,,No
EX-0005,Ankle ERRs,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,ankle,,No
EX-0006,Toe Yoga,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,toe,,No
EX-0007,Short Foot Drill,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,,,No
EX-0008,Tripod Foot Drill,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,,,No
EX-0009,Great Toe Extension Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,toe,,No
EX-0010,Great Toe Flexion Lift-Off,,Jason supplied + Jason programmed,CONFIRMED (name + grouping only) + used/described by Jason,foot_ankle_mobility,foot_ankle,toe,,No
EX-0011,Seated Ankle CARs,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,ankle,,No
EX-0012,Standing Ankle CARs,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,ankle,,No
EX-0013,Knee-to-Wall Dorsiflexion,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,knee,wall,No
EX-0014,Banded Ankle Dorsiflexion,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,ankle,band,No
EX-0015,Tibialis Raise,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,knee; ankle,,No
EX-0016,Soleus Raise,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,ankle,,No
EX-0017,Calf Raise Iso,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,ankle,,No
EX-0018,ToePro Dorsiflexion,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,toe,ToePro,No
EX-0019,ToePro Plantarflexion,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,toe,ToePro,No
EX-0020,ToePro Inversion,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,toe,ToePro,No
EX-0021,ToePro Eversion,,Jason supplied,CONFIRMED (name + grouping only),foot_ankle_mobility,foot_ankle,toe,ToePro,No
EX-0022,Knee Passive CARs,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,knee,,No
EX-0023,Knee IR Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,knee,,No
EX-0024,Knee ER Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,knee,,No
EX-0025,Knee IR ERR,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,knee,,No
EX-0026,Knee ER ERR,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,knee,,No
EX-0027,Seated Tibial IR,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,knee,,No
EX-0028,Seated Tibial ER,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,knee,,No
EX-0029,Supine Knee Rotations,,Jason supplied + Jason programmed,CONFIRMED (Jason-described in his own session flow),knee_mobility_control,knee_control,knee,,No
EX-0030,Terminal Knee Extension,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,knee,,No
