review_priority,legacy_id,name,library,modality,primary_joint,secondary_joints,pattern,contraindications,legacy_contraindicated_if,canonical_exercise_id,review_status,reviewer,reviewed_at,coach_review_notes
P0_missing_tags,accel_mechanics_linear_lateral,Acceleration Mechanics (Linear & Lateral),external_training,Speed,hip,ankle,accel,,,,unreviewed,,,
P0_missing_tags,accel_positioning,Acceleration Positioning,external_training,Speed,hip,ankle,accel,,,,unreviewed,,,
P0_missing_tags,cond_airbike_intervals,Air Bike Intervals,external_training,Conditioning,hip,knee,cyclic,,,,unreviewed,,,
P0_missing_tags,corr_scap_retraction_protraction,All-Fours Scapular Retraction/Protraction,external_training,Corrective,scapular,shoulder,scap_control,,,,unreviewed,,,
P0_missing_tags,wu_balance_reach,Balance Reach,external_training,Warmup,hip,ankle,balance,,,,unreviewed,,,
P0_missing_tags,wu_balance_reach_t_rotation,Balance Reach with T-Rotation,external_training,Warmup,hip,thoracic | ankle,balance,,,,unreviewed,,,
P0_missing_tags,banded_hip_bridge,Banded Hip Bridge,external_training,Corrective,hip,hamstring,hinge,,,,unreviewed,,,
P0_missing_tags,bench_supported_sl_rdl,Bench-Supported Single Leg RDL,external_training,Strength,hip,hamstring,hinge_unilateral,,,,unreviewed,,,
P0_missing_tags,corr_bird_dog,Bird Dog,external_training,Corrective,lumbar,hip | shoulder,antiextension,,,,unreviewed,,,
P0_missing_tags,training_table_birddog,Bird Dog (Training Table),external_training,Corrective,lumbar,hip | shoulder,antirotation,,,,unreviewed,,,
P0_missing_tags,wu_squats,Bodyweight Squats (warm-up),external_training,Warmup,hip,knee | ankle,squat,,,,unreviewed,,,
P0_missing_tags,car_bottoms_up_carry,Bottoms-Up Kettlebell Carry,external_training,Carry,shoulder,wrist | scapular,carry_overhead,,,,unreviewed,,,
P0_missing_tags,corr_bridge,Bridge (Single & Double Leg),external_training,Corrective,hip,lumbar,hinge,,,,unreviewed,,,
P0_missing_tags,pushh_cable_press,Cable Press (Single or Double Arm),external_training,Strength,shoulder,elbow,press_horiz,,,,unreviewed,,,
P0_missing_tags,pullv_cable_x_pulldown,Cable X Pulldown,external_training,Strength,scapular,shoulder,pull_vert,,,,unreviewed,,,
P0_missing_tags,wu_cariocas,Cariocas,external_training,Warmup,hip,ankle | thoracic,gait,,,,unreviewed,,,
P0_missing_tags,corr_cats_and_cows,Cat and Cow,external_training,Mobility,thoracic,lumbar,spinal,,,,unreviewed,,,
P0_missing_tags,pullh_chest_supported_row,Chest Supported Row,external_training,Strength,scapular,shoulder | elbow,row,,,,unreviewed,,,
P0_missing_tags,ae_dead_bug,Dead Bug,external_training,Core,lumbar,hip | shoulder,antiextension,,,,unreviewed,,,
P0_missing_tags,training_table_deadbug,Deadbug (Training Table),external_training,Core,lumbar,hip | shoulder,antiextension,,,,unreviewed,,,
P0_missing_tags,corr_dirty_dogs,Dirty Dogs (Fire Hydrants),external_training,Corrective,hip,,abduction,,,,unreviewed,,,
P0_missing_tags,double_leg_hip_bridge,Double-Leg Hip Bridge,external_training,Corrective,hip,hamstring | lumbar,hinge,,,,unreviewed,,,
P0_missing_tags,hng_dowel_hinge,Dowel Hip Hinge,external_training,Strength,hip,lumbar,hinge_teach,,,,unreviewed,,,
P0_missing_tags,db_hip_bridge,Dumbbell Hip Bridge,external_training,Strength,hip,hamstring,hinge,,,,unreviewed,,,
P0_missing_tags,db_sl_rdl,Dumbbell Single Leg RDL,external_training,Strength,hip,hamstring,hinge_unilateral,,,,unreviewed,,,
P0_missing_tags,accel_falling_starts,Falling Starts,external_training,Speed,hip,ankle,accel,,,,unreviewed,,,
P0_missing_tags,car_farmer_carry,Farmer Carry,external_training,Carry,hip,scapular | grip,carry_bilateral,,,,unreviewed,,,
P0_missing_tags,cond_farmer_carry_intervals,Farmer Carry Intervals,external_training,Conditioning,hip,scapular | grip,carry,,,,unreviewed,,,
P0_missing_tags,foot_elevated_hip_bridge,Foot-Elevated Hip Bridge,external_training,Strength,hip,hamstring,hinge,,,,unreviewed,,,
P0_missing_tags,foot_elevated_sl_hip_bridge,Foot-Elevated Single-Leg Hip Bridge,external_training,Strength,hip,hamstring,hinge_unilateral,,,,unreviewed,,,
P0_missing_tags,frog_pump,Frog Pump,external_training,Corrective,hip,hamstring,hinge,,,,unreviewed,,,
P0_missing_tags,front_foot_elevated_split_squat,Front Foot Elevated Split Squat,external_training,Strength,hip,knee,squat_split,,,,unreviewed,,,
P0_missing_tags,ae_front_plank,Front Plank,external_training,Core,lumbar,hip | shoulder,antiextension,,,,unreviewed,,,
P0_missing_tags,car_front_rack_carry,Front Rack Carry,external_training,Carry,shoulder,hip | thoracic,carry_frontrack,,,,unreviewed,,,
P0_missing_tags,wu_gate_swings,Gate Swings,external_training,Warmup,hip,ankle,dynamic_mobility,,,,unreviewed,,,
P0_missing_tags,rot_hk_chops,Half Kneeling Chops,external_training,Strength,thoracic,hip | shoulder,chop,,,,unreviewed,,,
P0_missing_tags,rot_hk_lifts,Half Kneeling Lifts,external_training,Strength,thoracic,hip | shoulder,lift,,,,unreviewed,,,
P0_missing_tags,wu_high_knees_linear_lateral,High Knees (linear and lateral),external_training,Plyometric,hip,ankle,gait,,,,unreviewed,,,
P0_missing_tags,corr_hip_flexor_rockers,Hip Flexor Rockers,external_training,Mobility,hip,,rocker,,,,unreviewed,,,
P0_missing_tags,corr_hockey_rockers,Hockey Rockers,external_training,Mobility,hip,ankle,rocker,,,,unreviewed,,,
P0_missing_tags,ae_hollow_hold,Hollow Hold,external_training,Core,lumbar,hip,antiextension,,,,unreviewed,,,
P0_missing_tags,power_horiz_jump_stick,Horizontal Jump and Stick,external_training,Plyometric,hip,ankle | knee,jump,,,,unreviewed,,,
P0_missing_tags,wu_inchworms,Inchworms,external_training,Warmup,hip,shoulder | hamstring,dynamic_mobility,,,,unreviewed,,,
P0_missing_tags,wu_jumping_jacks,Jumping Jacks,external_training,Plyometric,hip,ankle | shoulder,full_body,,,,unreviewed,,,
P0_missing_tags,kb_sl_rdl,Kettlebell Single Leg RDL,external_training,Strength,hip,hamstring,hinge_unilateral,,,,unreviewed,,,
P0_missing_tags,wu_knee_hugs,Knee Hugs,external_training,Warmup,hip,,dynamic_mobility,,,,unreviewed,,,
P0_missing_tags,lm_chest_supported_row,Landmine Chest-Supported Row,external_training,Strength,scapular,shoulder | elbow,row,,,,unreviewed,,,
